slice	item	severity	disposition	title
07-memory	P-7	Med-High	MERGED F-8/CDT-367	migrate-md non-destructive by default
07-memory	P-8	Med	MERGED F-12/CDT-421	Seed-pack python aggregation, JSONL framing, --agent merge (portability COVERED CDT-284/285)
07-memory	P-9	Med	COVERED CDT-269	Wire test-migrate/test-reconcile into smoke.yml (macOS lane CDT-271)
07-memory	P-10	Low-Med	CHECKLIST CDT-276	distilling_lock TTL / stale-lock auto-expiry
07-memory	P-11	Low-Med	CHECKLIST CDT-276	Trim agents/project-init.md role templates; drop unused SendMessage
08-diagnostics	F1	P1	CREATED CDT-324	/retro --all --auto scheduled lock trap releases at fence end; report fn undefined in later fences
08-diagnostics	F2	P1	CREATED CDT-335	/debug SPEC-029 reopen gate silently no-ops on installs (theme-status.sh bypasses PDH)
08-diagnostics	F3	P2	COVERED CDT-270	friction-capture-test needs gitignored hook; scheduled-retro-test stale grep (CI wiring: CDT-269)
08-diagnostics	F4	P2	CREATED CDT-344	scheduled-lock.sh acquire TOCTOU race; release has no owner check
08-diagnostics	F5	P2	CREATED CDT-353	retro-gate SKILL S3 semantics contradict gate.sh (CDT-125); dead s3_first_tool
08-diagnostics	F6	P2	CREATED CDT-362	retro.md grep -c || echo 0 yields 0\n0
08-diagnostics	F7	P2	CREATED CDT-372	/retro --all singleton filter after top-5 cap, per proposal not per session
08-diagnostics	F8	P2	CREATED CDT-384	scheduled report Applied list includes MANUAL_FOLLOWUP rows
08-diagnostics	F9	P2	CREATED CDT-393	/debug Step 0c rejects relative paths; git log -- "" fatal
08-diagnostics	F10	P2	CREATED CDT-407	doctor --fix ignores --only
08-diagnostics	F11	P2	CREATED CDT-417	bug-hunt *-plan.md glob matches -phase-plan.md
08-diagnostics	F12	P2	CHECKLIST CDT-279	bug-hunt stem collisions overwrite prior hunt
08-diagnostics	F13	P2	COVERED CDT-297	doctor fix-its use cwd-relative bash skills/... paths
08-diagnostics	F14	P3	CHECKLIST CDT-279	doctor embedding allowlist substring match (false PASS)
08-diagnostics	F15	P3	COVERED CDT-280	inconsistent Claude project-dir encoding (single encoder)
08-diagnostics	F16	P2	CHECKLIST CDT-286	retro-gate CLIs hang on trailing value flag
08-diagnostics	F17	P3	CHECKLIST CDT-279	bug-hunt arg/usage contradictions (--start-phase range, BH_FLOOR_FROM_CLI)
08-diagnostics	F18	P3	CHECKLIST CDT-279	trial-review scores all sessions before checking trials exist
08-diagnostics	F19	P3	CHECKLIST CDT-279	docs/commands/debug.md stale vs skill
08-diagnostics	F20	P3	CHECKLIST CDT-279	bug-hunt report.md template stale stage 1-2 hard walls
08-diagnostics	F21	P3	CHECKLIST CDT-279	retro-gate orphan fixture hybrid-one-row.ledger.jsonl (runtime fixture write: CDT-270)
08-diagnostics	F22	P3	CHECKLIST CDT-279	gate.sh non-numeric RETRO_THRESHOLD breaks one-JSON-line contract
08-diagnostics	F23	P3	CHECKLIST CDT-279	doctor test.sh hygiene (no-op seed, SKIP=PASS, tautological T20d/e, touch -d, dup labels)
08-diagnostics	F24	P3	CHECKLIST CDT-279	theme-status.sh history matching over-matches
08-diagnostics	F25	P3	CHECKLIST CDT-279	bug-hunt S1 git -C MROOT ls-files wrong in worktrees
08-diagnostics	F26	P3	COVERED CDT-285	GNU find -printf in /retro Claude fallback
08-diagnostics	E1	High	COVERED CDT-279	extract /retro steps into subprocess CLIs (parent Goal; rel CDT-252)
08-diagnostics	E2	High	COVERED CDT-289	split bug-hunt SKILL.md into core + stage files
08-diagnostics	E3	Medium-High	CHECKLIST CDT-279	make bug-hunt S0/S3a/S4a fences executable in tests
08-diagnostics	E4	High	COVERED CDT-269	single CI job for all slice tests
08-diagnostics	E5	Medium	CHECKLIST CDT-279	theme-status.sh + hint.sh tests
08-diagnostics	E6	Medium	COVERED CDT-286	shared need_arg + lint rule for shift 2
08-diagnostics	E7	Medium	COVERED CDT-280	single project-dir encoder
08-diagnostics	E8	Medium	MERGED F10/CDT-407	doctor --fix respects --only (fix-it paths part: CDT-297)
08-diagnostics	E9	Low-Medium	COVERED CDT-291	dedupe Model-map spawn fence
08-diagnostics	E10	Medium	CHECKLIST CDT-279	recompute anchor_id command-side; Grok feed path provenance
08-diagnostics	E11	Low-Medium	MERGED F5/CDT-353	retro-gate SKILL doc refresh + rename ac3 fixture
08-diagnostics	E12	Low-Medium	CHECKLIST CDT-279	bug-hunt templates frontmatter/placeholders/example rows
08-diagnostics	X1	P3	CHECKLIST CDT-279	retro.md interpolates $JSONL into python source (per-file Major)
08-diagnostics	X2	P3	CHECKLIST CDT-279	retro.md Step 5d TIGHTEN merge prose-only (per-file Major)
08-diagnostics	X3	P3	CHECKLIST CDT-279	debug SKILL fallback theme key / P.5 checklist / no Step 1 (per-file Issue)
08-diagnostics	X4	P3	CHECKLIST CDT-279	doctor.sh non-exec hook FAIL, dead code, json_escape, unquoted .load (per-file Issue)
09-release-tooling	F1	P1	COVERED CDT-267	reconcile.sh silently deletes non-row index content
09-release-tooling	F2	P1	COVERED CDT-267	close.sh duplicates ## Completed when header is last line
09-release-tooling	F2b	P1	CHECKLIST CDT-282	close.sh title=head -n1 yields --- for frontmatter items; awk -v mangles --note
09-release-tooling	F3	P1	COVERED CDT-267	release-train restore blind hard-reset after partial /release
09-release-tooling	F4a	P1	COVERED CDT-274	bump-class --cached reads worktree plugin.json
09-release-tooling	F4b	P1	COVERED CDT-274	ship-history D4 tag reflog detection dead by default
09-release-tooling	F4c	P1	COVERED CDT-274	CI bump-class checks HEAD only
09-release-tooling	F4d	P1	CHECKLIST CDT-274	bump-class --diff-filter=A misses renamed-in commands
09-release-tooling	F5	P1	COVERED CDT-285	declare -A/mapfile/grep -P bash4/GNU deps (flock part CDT-284)
09-release-tooling	F6	P1	COVERED CDT-268	ci-watch poll.sh spawns fixers when timeout missing
09-release-tooling	F7	P1	CREATED CDT-332	release-train preflight flags own queue dirty; test.sh masks it
09-release-tooling	F8	P2	CREATED CDT-341	/release Step 0 hard-blocks non-epic releases ('.'/'/'/jq)
09-release-tooling	F9	P2	CREATED CDT-351	backlog store split add vs close/reconcile
09-release-tooling	F10	P2	CREATED CDT-359	train TDD-index resolver duplicates edited rows
09-release-tooling	F11	P2	CREATED CDT-369	ci-watch fixer_active never expires
09-release-tooling	F12	P2	CREATED CDT-379	ci-watch [] -> done races freshly pushed PRs
09-release-tooling	F12b	P2	COVERED CDT-273	check-format.sh checks presence globally not per section
09-release-tooling	F13	P2	CREATED CDT-389	/audit apply evidence shape-only (fabricated quotes pass)
09-release-tooling	F13b	P2	CHECKLIST CDT-282	apply.py path filter false positive + non-transactional multi-id apply
09-release-tooling	F14	P2	CREATED CDT-405	/spec reflect flags contradict across command/docs/skill
09-release-tooling	F15	P2	CREATED CDT-415	blocked train entries have no exit path
09-release-tooling	F16	P2	CREATED CDT-425	/release pushes all local tags (--tags)
09-release-tooling	F17	P2	CHECKLIST CDT-282	commands/audit.md fence uses "$@" in Bash tool
09-release-tooling	F18	P2	CHECKLIST CDT-282	docs-drift test.sh mutates live repo without restore trap
09-release-tooling	F19	P3	CHECKLIST CDT-282	spec docs use non-lifecycle statuses (runbook NEW, emoji, check audit)
09-release-tooling	F20	P3	CHECKLIST CDT-282	spec skeleton hard-codes Category: core
09-release-tooling	F21	P3	COVERED CDT-270	metrics test not root-safe (T4)
09-release-tooling	F22	P3	CHECKLIST CDT-282	stale references, dead code, dead files
09-release-tooling	F23	P3	CHECKLIST CDT-282	misc shell hygiene (grep -c||echo 0, mktemp, -z --no-renames, hooksPath, lock gitignore, scan truncation)
09-release-tooling	F23-lock	P3	CHECKLIST CDT-282	train-lib acquire-lock TOCTOU, no stale recovery
09-release-tooling	T-reconcile	P1	CHECKLIST CDT-267	reconcile.sh blank verdict deletes item file; regex JSON; empty array set -u
09-release-tooling	T-sidecar	P3	CHECKLIST CDT-282	sidecar.sh delete leaves artifacts; set retypes numeric strings
09-release-tooling	T-trainlib	P3	CHECKLIST CDT-282	train-lib cwd-relative read_master_version; changelog heading normalization
09-release-tooling	T-release-bump	P3	CHECKLIST CDT-282	/release feat->minor vs AGENTS opt-in flags = patch
09-release-tooling	T-scan	P3	CHECKLIST CDT-282	security-scan cwd vs root targets, no dedupe, no tests, privacy note
09-release-tooling	T-spectool	P3	CHECKLIST CDT-282	spec-tooling unquoted MROOT, Phase 5 uncapped reads, cwd fence
09-release-tooling	E1	High	COVERED CDT-288	resolve PDH once per skill (release/release-train)
09-release-tooling	E2	Medium	CHECKLIST CDT-286	skill-lint /tmp check + sh/shell fences (C3 auto-exempt part COVERED CDT-288)
09-release-tooling	E3	Medium	COVERED CDT-289	split spec-tooling/SKILL.md
09-release-tooling	E4	High	COVERED CDT-271	portability CI matrix (+ harnesses in CI CDT-269)
09-release-tooling	E5	High	MERGED F1,F2/CDT-267	line-preserving backlog index edits
09-release-tooling	E6	Medium	MERGED F4b/CDT-274	ship-history tag snapshot
09-release-tooling	E7	High	MERGED F3/CDT-267	release-train rewind-safe restore
09-release-tooling	E8	Medium	MERGED F13/CDT-389	verify evidence in /audit apply
09-release-tooling	E9	Medium	MERGED F11,F12/CDT-369,CDT-379	ci-watch stale guard + empty-checks debounce
09-release-tooling	E10	Medium	COVERED CDT-273	check-format section-scoped + CI
10-core-rest	F1	P0	COVERED CDT-261	/setup team PLUGIN_DIR points at plugin root; memory-store scripts not found
10-core-rest	F2	P1	COVERED CDT-265	plugin-dir.sh consumer repo shadows plugin scripts (hijack)
10-core-rest	F3	P1	COVERED CDT-263	MEMDB before MROOT fence ordering (setup, brainstorm, AGENTS.md)
10-core-rest	F4	P2	COVERED CDT-269	71 of 77 test scripts not in CI (+permissions/timeout CDT-274, macOS CDT-271)
10-core-rest	F5	P2	CREATED CDT-348	v1.18.14 literal-${CLAUDE_PLUGIN_ROOT} stanza branch untested
10-core-rest	F6	P2	COVERED CDT-297	dontAsk/Cell C docs vs shipped auto/Cell D
10-core-rest	F7	P2	COVERED CDT-296	install.sh opencode tier map wrong
10-core-rest	F8	P2	COVERED CDT-297	scaffold-project allowlist safety claim misleading
10-core-rest	F9	P2	COVERED CDT-297	scaffolded .gitignore ignores all of .claude/
10-core-rest	F10	P2	CREATED CDT-356	refactor Step 1b path guard discards relative paths
10-core-rest	F11	P2	COVERED CDT-296	SECURITY.md supported versions stale
10-core-rest	F12	P2	COVERED CDT-295	internal skills user-invocable
10-core-rest	F13	P2	CREATED CDT-365	docs/commands/refactor.md outdated (escalation gate, worktree)
10-core-rest	F14	P2	COVERED CDT-299	7 agents never load glossary (agent half)
10-core-rest	F14b	P2	CREATED CDT-374	domain-glossary load path vs write path disagree; malformed table row
10-core-rest	F15	P3	CREATED CDT-383	tdd-gate hook template malformed (shebang, matcher, exit-2 text)
10-core-rest	F16	P3	COVERED CDT-295	stale /focus /blunt stub references
10-core-rest	F17	P3	CREATED CDT-394	manual.md broken anchor, git checkout main (cwd-relative part in CDT-297)
10-core-rest	F18	P3	COVERED CDT-298	worktree-lib release force-deletes unmerged branch
10-core-rest	F19	P3	COVERED CDT-298	worktree-lib-test l.118 flaky
10-core-rest	F20	P3	CREATED CDT-408	setup docs inaccuracies (--refresh, 8 agents, schema v2, onboarding)
10-core-rest	F21	P3	CREATED CDT-418	pm.md escalates to Opus while on Opus
10-core-rest	F22	P3	CHECKLIST CDT-297	tools/smoke/run.sh points to missing README
10-core-rest	F23	P3	CHECKLIST CDT-297	scout-plugins README orphan command + no untrusted-content guard
10-core-rest	F24	P3	CHECKLIST CDT-297	standup STALE heuristic always fires + minor defects
10-core-rest	F25	P3	CHECKLIST CDT-284	install-test.sh sha256sum not portable
10-core-rest	F26	P3	CHECKLIST CDT-299	verify effort: xhigh on Sonnet (unverified)
10-core-rest	E1	High	COVERED CDT-272	fence doctor lint
10-core-rest	E2	High	COVERED CDT-269	discovering CI job (+CDT-274 perms/timeouts, CDT-271 macOS)
10-core-rest	E3	High	COVERED CDT-265	plugin-dir.sh self-location tier + identity check
10-core-rest	E4	Med	COVERED CDT-296	generate install.sh tier map from frontmatter
10-core-rest	E5	Med	COVERED CDT-295	user-invocable:false + docs-drift parity
10-core-rest	E6	Med	COVERED CDT-297	docs-drift stale-term list
10-core-rest	E7	Med	COVERED CDT-289	trim refactor SKILL.md
10-core-rest	E8	Med	COVERED CDT-299	glossary + hand-back block for 7 agents
10-core-rest	E9	Low-Med	CHECKLIST CDT-297	anchor-link checker + /release updates SECURITY.md
10-core-rest	E10	Med	COVERED CDT-298	worktree-lib --keep-branch, unmerged warning, tests
10-core-rest	R-smoke.yml	Issue	CHECKLIST CDT-274	actions/checkout not SHA-pinned (other smoke.yml items CDT-269/271/274)
10-core-rest	R-AGENTS.md	Issue	CHECKLIST CDT-297	AGENTS.md drift: snippet vs protocol.md, directives list, hooksPath, TaskCompleted claim
10-core-rest	R-fence-args	Major	CHECKLIST CDT-297	"$@"/$slug empty in Bash-tool fences (setup, status, worktree)
10-core-rest	R-setup-stanza	Major	COVERED CDT-288	PDH stanza repeated 9x in commands/setup.md
10-core-rest	R-install.sh	Issue	CHECKLIST CDT-296	install.sh default run drops user pins; strip regex; comment
10-core-rest	R-uninstall	Minor	CHECKLIST CDT-296	uninstall.sh symlink check/pin revert; install-test gaps
10-core-rest	R-brainstorm	Issue	CHECKLIST CDT-297	brainstorm sqlite timeout; round-4 contradictions (+docs page)
10-core-rest	R-scaffold	Issue	CHECKLIST CDT-297	scaffold template inner fences close early; phantom ~/.claude/CLAUDE.md
10-core-rest	R-plugin-dir.sh	Issue	MERGED F5/CDT-348	stale l.14 comment, sort -V
10-core-rest	R-README	Minor	CHECKLIST CDT-297	README internal-agent count, marketplace key, opencode keys
10-core-rest	R-hygiene	Minor	CHECKLIST CDT-297	idea-to-plan SPEC-031 collision, migrate cp -a, CHANGELOG annotation, .gitignore dups
10-core-rest	R-agents-protocol	Minor	CHECKLIST CDT-299	$CONTENT unset, embed resolver tiers, commit-per-GREEN, tools order
10-core-rest	R-skills-minor	Minor	CHECKLIST CDT-297	code-simplify revert, craft-loop six slots, backlog-burn commits backlog
10-core-rest	R-worktree-lib	Minor	CHECKLIST CDT-298	release TOCTOU --force, non-git dir adopted, ERR_TMP leak
10-core-rest	R-matrix-probe	Minor	CHECKLIST CDT-287	permission-matrix-probe no preflight, loose wt_ok, dead code
10-core-rest	R-smoke.py	Minor	CHECKLIST CDT-269	smoke.py does not validate agents frontmatter
10-core-rest	R-mode-status-paths	Minor	COVERED CDT-297	cwd-relative skills/*.md paths in mode.md/status.md
10-core-rest	R-blunt-desc	Minor	COVERED CDT-295	blunt profanity/description surfaces in skill list
10-core-rest	C-a	info	NOT-ACTIONABLE	manifests valid, no dedicated JSON CI step (docs-drift exercises them)
